V,p_ab,p_auf
4,14.5,14.5
3.75,15.5,15.25
3.5,16,16
3.25,17,17
3,18.25,18.25
2.75,19.5,19.5
2.5,20.75,21
2.25,22,22.25
2,23.5,23.75
1.75,25.25,24.75
1.5,25.5,24.75
1.4,25.5,24.75
1.3,25.5,25
1.2,25.5,25
1.1,25.5,25
1,25.5,25
0.9,25.25,25
0.8,25.25,25
0.7,25.25,25.5
0.6,25.5,25
0.5,25.75,25.25
0.4,26,25.5
0.35,43.5, NaN
