V_m,p
1.592140880373844993e+03,1.519999999999999929e+01
1.552337358364498868e+03,1.559999999999999964e+01
1.512533836355152516e+03,1.600000000000000000e+01
1.472730314345806619e+03,1.639999999999999858e+01
1.432926792336460494e+03,1.685000000000000142e+01
1.393123270327114369e+03,1.725000000000000000e+01
1.353319748317768244e+03,1.775000000000000000e+01
1.313516226308421892e+03,1.814999999999999858e+01
1.273712704299075995e+03,1.864999999999999858e+01
1.233909182289729870e+03,1.925000000000000000e+01
1.194105660280383745e+03,1.970000000000000284e+01
1.154302138271037620e+03,2.019999999999999929e+01
1.114498616261691268e+03,2.089999999999999858e+01
1.074695094252345370e+03,2.150000000000000000e+01
1.034891572242999246e+03,2.214999999999999858e+01
9.950880502336531208e+02,2.289999999999999858e+01
9.552845282243068823e+02,2.364999999999999858e+01
9.154810062149607575e+02,2.429999999999999716e+01
8.756774842056147463e+02,2.475000000000000000e+01
8.358739621962686215e+02,2.610000000000000142e+01
7.960704401869224967e+02,2.705000000000000071e+01
7.562669181775762581e+02,2.800000000000000000e+01
7.164633961682302470e+02,2.905000000000000071e+01
6.766598741588841222e+02,2.960000000000000142e+01
6.368563521495379973e+02,3.135000000000000142e+01
5.970528301401918725e+02,3.275000000000000000e+01
5.572493081308456340e+02,3.410000000000000142e+01
5.174457861214996228e+02,3.525000000000000000e+01
4.776422641121534411e+02,3.695000000000000284e+01
4.378387421028073732e+02,3.820000000000000284e+01
3.980352200934612483e+02,3.975000000000000000e+01
3.582316980841151235e+02,4.110000000000000142e+01
3.184281760747689987e+02,4.260000000000000142e+01
2.786246540654228170e+02,4.385000000000000142e+01
2.388211320560767206e+02,4.600000000000000000e+01
